candname,party,chlab,chbus,chmaj,chrep,chsafe,chfrosh,chprest,chvotrec,inlead
DELAY,2,15000,571683,1,0,0.092842102,0,0,9.090911865,1
LIVINGSTON,2,22900,402109,1,0,0,0,0,18.02859497,0
ARMEY,2,0,303288,1,0,0.055661201,0,0,0.15322113,0
BOEHNER,2,2500,298906,1,0,0.301388741,0,0,9.805923462,0
GINGRICH,2,3500,271662,1,0,0.105507851,0,0,21.29724121,0
CRANE,2,7250,256609,1,0,0.113679409,0,0,0.970375061,0
BARTON,2,1000,254698,1,0,0.074308872,0,0,12.35955811,0
PAXON,2,7000,248537,1,0,0.15970993,0,0,9.090911865,0
KASICH,2,3000,248277,1,0,-0.066242218,0,0,24.20837402,0
COX,2,0,225947,1,0,0.084072113,0,0,16.64963531,0
DUNN,2,5500,225728,1,0,0.172515869,-1,1,14.45352173,0
MOLINARI,2,25850,224273,1,0,0.218222141,0,0,14.60673904,0
SOLOMON,2,5485,217577,1,0,0.115440369,0,0,8.886619568,0
SCHAEFER,2,3500,217499,1,0,0.158588409,0,0,16.08784485,0
THOMAS,2,7000,216526,1,0,0.085883141,0,0,14.1470871,0
BLILEY,2,-3000,211086,1,0,0,0,0,16.18999481,0
LAZIO,2,18585,196770,1,0,0.287602186,-1,0,10.26557541,0
HASTERT,2,13050,165808,1,0,0.127214909,0,0,20.22471619,0
SHUSTER,2,14500,163486,1,0,0,0,0,11.64453125,0
KLUG,2,-4000,160943,1,0,0.120871067,0,0,9.141983032,0
BILIRAKIS,2,7500,160242,1,0,0.52893877,0,0,13.12564087,0
MCCOLLUM,2,-1000,156893,1,0,0.377694607,0,0,14.19816589,0
DREIER,2,1500,154899,1,0,0.111445427,0,0,9.039840698,0
RICHARDSON,1,28050,148731,-1,0,-0.061436176,0,0,5.515830994,0
DEAL,1,-2550,147011,0,1,-0.022241592,-1,0,12.15526199,0
HOBSON,2,-3500,146280,1,0,0.338905334,0,0,14.35137939,0
CONDIT,1,8840,145085,-1,0,-0.394376755,0,0,7.252300262,0
YOUNG,2,38249,143833,1,0,0.195557594,0,0,16.75178909,0
DINGELL,1,-19690,143215,-1,0,-0.120634556,0,0,-0.817159653,0
HYDE,2,1000,140092,1,0,0.144411564,0,0,18.74361801,0
BAKER,2,1400,131293,1,0,0.152659893,-1,0,18.33503723,0
JOHNSON,2,4500,126903,1,0,0,0,1,12.15525818,0
RAMSTAD,2,8500,121924,1,0,0.113432884,0,1,10.01021576,0
OXLEY,2,0,121631,1,0,0.487662792,0,0,15.62819672,0
COMBEST,2,0,121250,1,0,0.249423504,0,0,29.87742615,0
FAZIO,1,113800,119670,-1,0,-0.075506687,0,0,4.545455933,0
LAUGHLIN,1,-24165,116332,0,1,-0.250166893,0,1,18.18181992,0
ORTON,1,110400,114656,-1,0,-0.032496452,0,0,0.868236542,0
BAESLER,1,80800,109250,-1,0,-0.031106949,-1,0,11.89989853,0
WALSH,2,5500,108086,1,0,0.033178806,0,0,11.89989853,0
EWING,2,2500,107763,1,0,0.13750124,0,0,14.09602356,0
SCHUMER,1,66677,103600,-1,0,-0.319998741,0,0,7.456588745,0
PETERSON,1,-25500,102270,-1,0,0.012203217,0,0,6.639427185,0
JOHNSON,2,-3973,101991,1,0,-0.092203617,0,0,12.30847931,0
HAMILTON,1,112825,101837,-1,0,-0.292011261,0,0,8.52911377,0
ROYCE,2,-500,101701,1,0,0.14828825,-1,0,8.835548401,0
LUCAS,2,1500,100551,1,0,0.03188324,0,0,15.32175446,0
FRANKS,2,7650,98129,1,0,0.08709383,-1,0,7.252300262,0
FROST,1,180825,97337,-1,0,-0.123934984,0,0,2.09397316,0
MCCRERY,2,1000,95162,1,0,0.461733818,0,0,20.88865662,0
WAXMAN,1,8000,93705,-1,0,0.002182484,0,0,3.728295326,0
COLLINS,2,8150,91948,1,0,0.179517269,-1,1,20.07150269,0
STEARNS,2,2200,91739,1,0,0.425321102,0,0,14.1470871,0
SKEEN,2,-50,90750,1,0,0.163838387,0,0,17.00714874,0
SPENCE,2,15800,90450,1,0,0,0,0,17.41573334,0
LINDER,2,3000,87825,1,0,0.135532856,-1,1,13.3809967,0
CUNNINGHAM,2,15000,81661,1,0,0.123569012,0,0,12.51276398,0
COBLE,2,4000,80230,1,0,0.345522881,0,0,3.881507874,0
MCHUGH,2,3350,79753,1,0,0.087871552,-1,0,5.515830994,0
CRAPO,2,-500,78232,1,0,0.1710639,-1,0,11.08274078,0
OBERSTAR,1,35500,77733,-1,0,-0.01292181,0,0,0.051073074,0
SPRATT,1,82297,77266,-1,0,-0.161116123,0,0,5.515830994,0
KING,2,57850,77029,1,0,0.145584345,-1,0,5.822265625,0
STENHOLM,1,9000,76516,-1,0,-0.208128214,0,0,5.260467529,0
BOEHLERT,2,45164,75944,1,0,0.08290863,0,0,11.44024658,0
EDWARDS,1,64000,75703,-1,0,-0.130055428,0,0,4.443309784,0
HOUGHTON,2,5527,75142,1,0,0.296494484,0,0,14.96424484,0
TANNER,1,5650,74333,-1,0,-0.449385643,0,0,6.281921387,0
SKELTON,1,54999,72606,-1,0,-0.038039684,0,0,10.8273735,0
HERGER,2,5500,72542,1,0,0.016428471,0,0,14.24923706,0
DOOLEY,1,15910,71038,-1,0,-0.134401798,0,0,9.703777313,0
TAUZIN,1,-6250,69946,0,1,0,0,0,14.40245056,0
LEWIS,2,14500,69850,1,0,0.053841591,0,0,15.42390442,0
PETRI,2,9700,68970,1,0,0.63725853,0,0,6.996940613,0
GORDON,1,57500,68214,-1,0,-0.139955521,0,-1,10.77629852,0
BURTON,2,5000,68141,1,0,0.065309048,0,0,5.311546326,0
PACKARD,2,2500,66046,1,0,0.126074791,0,0,12.97241974,0
FAWELL,2,2000,65468,1,0,0.067317486,0,0,8.52910614,0
VENTO,1,69079,65455,-1,0,-0.074881554,0,0,2.502554893,0
PORTER,2,6000,64849,1,0,0.151347637,0,0,12.00204086,0
SAXTON,2,6900,64044,1,0,0.09761095,0,0,13.53421402,0
BUNNING,2,0,63229,1,0,0.187454224,0,0,17.9775238,0
TAYLOR,1,16000,61914,-1,0,-0.064461708,0,0,0.306434631,0
ROUKEMA,2,-1550,61690,1,0,0.037549019,0,0,6.894790649,0
WELDON,2,3200,60400,1,0,0.04886961,0,0,9.550563812,0
YOUNG,2,1500,60105,1,0,0.569620609,0,0,13.2277832,0
BEREUTER,2,0,59668,1,0,0.047890663,0,0,11.89989471,0
COYNE,1,87077,59067,-1,0,-0.094106674,0,0,7.150156021,0
BONILLA,2,6037,58598,1,0,0.033048153,-1,0,13.17671204,0
HUNTER,2,15650,54951,1,0,0.180519581,0,0,10.72522736,0
GOODLATTE,2,1500,53826,1,0,0.509626389,-1,0,10.98059082,0
GEPHARDT,1,70300,53231,-1,0,-0.106966496,0,0,2.502555847,0
HEFLEY,2,1500,51400,1,0,0.308483601,0,0,5.822265625,0
WOLF,2,11750,48335,1,0,0.421670914,0,0,9.090911865,0
EVERETT,2,1000,48301,1,0,0.370404482,-1,0,22.01225281,0
CRAMER,1,75547,46654,-1,0,-0.286349535,0,0,12.10419083,0
DIAZ-BALART,2,6500,46617,1,0,0,-1,1,12.41062164,0
FRANK,1,23452,45840,-1,0,0.327102184,0,0,11.54239082,0
POMEROY,1,25375,44839,-1,0,-0.094003677,-1,0,2.145046234,0
FOWLER,2,2700,44079,1,0,0.566549778,-1,0,13.585289,0
SENSENBRENNER,2,500,43599,1,0,0.337222576,0,0,-1.940757751,0
BLUTE,2,14300,43093,1,0,0.038052797,-1,0,9.193054199,0
DUNCAN,2,22200,41947,1,0,0.304855347,0,0,-5.464759827,0
MCKINNEY,1,73077,40643,-1,0,-0.108328819,-1,0,1.123596191,0
MCDADE,2,18700,35806,1,0,-0.387473106,0,0,15.57712173,0
BALLENGER,2,-1000,34874,1,0,0.091031075,0,0,9.090911865,0
DEUTSCH,1,-38500,34151,-1,0,0.040006638,-1,0,4.443309784,0
ESHOO,1,-2420,34067,-1,0,0.023338318,-1,0,6.332994461,0
EVANS,1,123025,32800,-1,0,-0.097238779,0,0,1.430029869,0
UPTON,2,1250,32398,1,0,0.182966232,0,0,9.908069611,0
ABERCROMBIE,1,153350,30784,-1,0,-0.313842773,0,0,6.945864677,0
QUINN,2,62612,30603,1,0,0.231528997,-1,0,5.873344421,0
HARMAN,1,-36732,29969,-1,0,-0.061681747,-1,0,10.62308502,0
BAKER,2,1000,29600,1,0,0,0,0,10.62308502,0
HALL,1,8800,28995,-1,0,-0.006288052,0,0,2.91113472,0
KLECZKA,1,99235,28184,-1,0,-0.208272934,0,0,7.967311859,0
CAMP,2,2750,27555,1,0,0.143754482,0,0,12.51276398,0
PAYNE,1,51940,27088,-1,0,-0.024587631,0,0,-0.153215408,0
BATEMAN,2,16500,26132,1,0,0.239730835,0,0,23.49336243,0
MCKEON,2,2000,25910,1,0,0.09703064,-1,0,15.67926025,0
CALLAHAN,2,4000,25404,1,0,0.081027508,0,0,16.70071411,0
TRAFICANT,1,21240,24645,-1,0,-0.083666325,0,0,15.88355255,0
MICA,2,9500,24548,1,0,0.261955738,-1,0,13.585289,0
ARCHER,2,-1000,23625,1,0,0,0,0,20.48007965,0
ROS-LEHTINEN,2,14650,23434,1,0,0.403796673,0,0,11.7466774,0
PALLONE,1,-4608,23382,-1,0,0.133610249,0,0,-2.553627014,0
GILMAN,2,-23113,22015,1,0,0.006680489,0,0,16.85393143,0
BISHOP,1,46700,20323,-1,0,0.038074493,-1,0,7.456588745,0
JOHNSON,1,47900,20217,-1,0,-0.00164938,-1,0,4.187947273,0
TALENT,2,-500,20125,1,0,0.2895751,-1,0,17.9775238,0
GALLEGLY,2,1800,19654,1,0,0.220250607,0,0,14.04494476,0
GOSS,2,0,19000,1,0,0,0,0,8.120529175,0
LAFALCE,1,12875,18167,-1,0,-0.008594513,0,0,-3.626146317,0
RUSH,1,-4250,18118,-1,0,-0.088439941,-1,0,0.357509613,0
KNOLLENBERG,2,-500,18044,1,0,0.159196854,-1,1,6.281921387,0
GEKAS,2,500,17375,1,0,0.363771439,0,0,12.20633698,0
MCHALE,1,31900,16701,-1,0,-0.051592112,-1,0,3.472930908,0
ROHRABACHER,2,0,16300,1,0,0.169784069,0,0,5.771194458,0
STUMP,2,500,15367,1,0,0.089178562,0,0,0.459655762,0
MCINNIS,2,-2500,14290,1,0,0.225095272,-1,1,19.91828156,0
ACKERMAN,1,-69550,13700,-1,0,0.039621115,0,0,2.860061646,0
KAPTUR,1,-27820,13450,-1,0,-0.023623943,0,0,-0.20429039,0
FURSE,1,-11550,13397,-1,0,-0.038558245,-1,0,4.443309784,0
ORTIZ,1,21600,13270,-1,0,0.0487113,0,0,5.924411774,0
OLVER,1,59327,12700,-1,0,0.611327648,0,-1,5.720122337,0
TEJEDA,1,24500,12337,-1,0,-0.32854557,-1,0,8.426967621,0
MORELLA,2,9799,11632,1,0,-0.031443596,0,0,11.18488312,0
ROEMER,1,14750,11284,-1,0,-0.040173054,0,0,9.499488831,0
CARDIN,1,35050,11223,-1,0,-0.0351367,0,0,9.499490738,0
DANNER,1,-46310,10801,-1,0,0.176455021,-1,0,9.959140778,0
DOOLITTLE,2,-1000,10720,1,0,0.200356722,0,0,9.039833069,0
ISTOOK,2,0,9860,1,0,0.627509356,-1,0,17.72216034,0
KIM,2,3000,9124,1,0,-0.020255566,-1,0,16.24105835,0
MANZULLO,2,-500,8965,1,0,0.238763332,-1,0,11.84882355,0
OBEY,1,95077,8831,-1,0,-0.170514345,0,0,7.558732986,0
MCNULTY,1,48785,8368,-1,0,0.055083752,0,0,7.660879135,0
NUSSLE,2,300,8015,1,0,0.108250141,0,1,14.45352173,0
BARRETT,2,3500,7752,1,0,0.093159676,0,0,12.61490631,0
THOMPSON,1,-2600,7600,-1,0,-0.275393486,-1,0,-3.319714546,0
GILLMOR,2,0,6953,1,0,-0.309750557,0,0,22.98263168,0
MINGE,1,-16573,6795,-1,0,0.067629337,-1,0,0.561798096,0
KOLBE,2,0,6392,1,0,0.015761852,0,0,14.1470871,0
WISE,1,85750,6225,-1,0,-0.106883049,0,0,2.808988571,0
MILLER,2,-1000,5377,1,0,0.54735136,-1,1,12.41062164,0
GONZALEZ,1,7850,4600,-1,0,-0.469651699,0,0,17.77323723,0
MINK,1,29988,4382,-1,0,-0.030107498,0,0,5.362614632,0
HOKE,2,0,4200,1,0,0.009114265,-1,0,13.12564087,0
KLINK,1,-8250,4200,-1,0,-0.212748528,-1,0,2.808990479,0
PORTMAN,2,0,3950,1,0,0.100077152,-1,1,9.090904236,0
DICKEY,2,0,3654,1,0,-0.010197639,-1,1,18.18182373,0
GOODLING,2,0,2000,1,0,0.564525604,0,0,10.46987152,0
SCHIFF,2,5200,1784,1,0,0.165717125,0,0,8.478034973,0
FILNER,1,13950,1740,-1,0,-0.071882725,-1,0,-5.209397316,0
VISCLOSKY,1,6150,1720,-1,0,-0.206756592,0,0,9.193052292,0
SHAW,2,1000,1539,1,0,0.08223629,0,0,12.35955048,0
HORN,2,-500,1000,1,0,0.149183989,-1,0,11.08273697,0
MARKEY,1,27,550,-1,0,-0.069392204,0,0,2.400407791,0
REGULA,2,0,500,1,0,0.162887096,0,0,14.60674667,0
ROGERS,2,8900,279,1,0,0.374431133,0,0,19.10112762,0
SMITH,2,0,275,1,0,-0.402674198,-1,0,9.397338867,0
SMITH,2,2500,225,1,0,0.284407616,0,0,13.89173126,0
HASTINGS,1,20400,81,-1,0,0.426484585,-1,0,3.21756649,0
POSHARD,1,0,0,-1,0,-0.169068813,0,0,0.408576965,0
HOEKSTRA,2,0,0,1,0,0.167022705,-1,0,14.19816589,0
LEACH,2,0,-500,1,0,-0.110620975,0,0,9.754852295,0
INGLIS,2,0,-500,1,0,0.357195616,-1,0,25.53626251,0
TORKILDSEN,2,-1000,-550,1,0,-0.063874245,-1,0,5.873344421,0
BARRETT,1,-6473,-550,-1,0,-0.095825195,-1,0,1.378957748,0
HOLDEN,1,17017,-840,-1,0,0.086010695,-1,0,4.18794632,0
MARTINEZ,1,-28750,-900,-1,0,-0.056447029,0,0,0.459651947,0
DEFAZIO,1,25600,-1520,-1,0,-0.066772461,0,0,-3.472932816,0
MEEHAN,1,0,-1850,-1,0,0.182851315,-1,0,0.153217316,0
MENENDEZ,1,33000,-1900,-1,0,0.0846591,-1,0,2.298265457,0
GREENWOOD,2,27,-3180,1,0,0.292695045,-1,0,11.33810425,0
TOWNS,1,17235,-3760,-1,0,-0.098760128,0,0,5.005106926,0
BARTLETT,2,-1000,-3835,1,0,0.19670248,-1,0,7.04800415,0
SMITH,2,9746,-4134,1,0,0.076761246,0,0,15.06639481,0
HALL,1,-1500,-4507,-1,0,-0.015446663,0,0,10.46986771,0
CLYBURN,1,-11850,-4667,-1,0,-0.022804737,-1,0,-2.09397316,0
GILCHREST,2,-2500,-5154,1,0,0.27217555,0,0,12.15525818,0
KENNEDY,1,102879,-5393,-1,0,0,0,0,3.319713593,0
PICKETT,1,-1500,-5494,-1,0,0.052386284,0,0,10.72523117,0
PASTOR,1,37800,-5769,-1,0,-0.046394825,0,-1,2.196117401,0
YATES,1,-11750,-6750,-1,0,-0.079368591,0,0,6.230846882,0
CALVERT,2,11000,-6884,1,0,0.15826726,-1,0,16.90500641,0
SCOTT,1,-6337,-7400,-1,0,0.00905323,-1,0,6.996936798,0
WOOLSEY,1,-39150,-7629,-1,0,-0.082497597,-1,0,3.421859741,0
OWENS,1,12289,-8093,-1,0,-0.101313114,0,0,-2.349336147,0
ENGEL,1,-26448,-9359,-1,0,-0.051766872,0,0,4.085801125,0
KENNELLY,1,-5300,-9378,-1,0,0.084460258,0,0,7.814096451,0
ROYBAL-ALLARD,1,-6250,-9695,-1,0,0.182647705,-1,0,2.502552032,0
WYNN,1,-18394,-9871,-1,0,-0.002170563,-1,0,3.319713593,0
FRANKS,2,-1000,-10504,1,0,-0.08883214,0,0,12.25740433,0
GUTIERREZ,1,-15400,-10663,-1,0,-0.030789375,-1,0,-2.451480865,0
FOGLIETTA,1,9229,-10850,-1,0,0.007436752,0,0,0.306433678,0
STUPAK,1,-121273,-11328,-1,0,0.039337635,-1,0,0.306436539,0
BROWN,1,12550,-11700,-1,0,-0.028099537,-1,0,0.102142334,0
KINGSTON,2,-2500,-11779,1,0,0.280553341,-1,1,15.98570251,0
NADLER,1,-22073,-11965,-1,0,-0.006287098,-1,0,3.319714546,0
CASTLE,2,100,-12137,1,0,0.250646591,-1,0,7.814094543,0
LIPINSKI,1,19700,-12935,-1,0,-0.159409523,0,0,4.290092468,0
BORSKI,1,-12546,-14267,-1,0,0.041620731,0,0,2.298261642,0
BECERRA,1,-10500,-14521,-1,0,-0.011248589,-1,0,-4.290091515,0
SHAYS,2,-3850,-15500,1,0,0.057012558,0,0,10.01021194,0
PELOSI,1,1000,-15547,-1,0,-0.07466507,0,0,9.652708054,0
HINCHEY,1,88020,-16128,-1,0,-0.031026363,-1,0,-5.975484848,0
BACHUS,2,6500,-16614,1,0,0.385755301,-1,0,9.193054199,0
LANTOS,1,-37600,-16750,-1,0,-0.102422237,0,0,-2.860061646,0
SAWYER,1,48300,-17298,-1,0,-0.266047001,0,0,6.792644501,0
PRYCE,2,1000,-18983,1,0,0.275675535,-1,1,11.84883118,0
TORRES,1,150,-18995,-1,0,0.001149654,0,0,3.472929001,0
DELAURO,1,-21765,-19585,-1,0,-0.034542561,0,-1,2.29826355,0
SKAGGS,1,38000,-20026,-1,0,-0.136706352,0,0,5.566905975,0
BERMAN,1,150,-20720,-1,0,-0.014308929,0,0,8.529110909,0
WATERS,1,-17450,-21157,-1,0,-0.090519905,0,0,1.225739956,0
DORNAN,2,0,-21525,1,0,0.096090794,0,0,9.652702332,0
VELAZQUEZ,1,-56898,-22264,-1,0,0.153886318,-1,0,-0.051074505,0
VOLKMER,1,42006,-22346,-1,0,0.031486273,0,0,-2.502555847,0
STOKES,1,-10550,-23750,-1,0,-0.008973122,0,0,3.98365736,0
SERRANO,1,-4973,-25063,-1,0,0.089454651,0,0,4.136876106,0
COLLINS,1,-41300,-26002,-1,0,0.038482666,0,0,-1.481102347,0
CANADY,2,0,-26487,1,0,0.220660925,-1,0,10.98059082,0
LOWEY,1,31312,-26814,-1,0,0.048573971,0,0,2.911136627,0
RAHALL,1,-13700,-26944,-1,0,-0.027101517,0,0,2.29826355,0
CLEMENT,1,26900,-27571,-1,0,-0.163869381,0,0,5.566905975,0
MEEK,1,8650,-29225,-1,0,0,-1,-1,1.532176971,0
POMBO,2,-3500,-29615,1,0,0.226327181,-1,0,28.39632416,0
FARR,1,80615,-31752,-1,0,-0.33185339,-1,0,6.894790649,0
NEAL,1,-16923,-32361,-1,0,-0.02210331,0,0,3.3197155,0
DICKS,1,-25800,-34300,-1,0,-0.177093983,0,0,4.902961731,0
COSTELLO,1,-11100,-35200,-1,0,-0.077682972,0,0,-0.204292297,0
DIXON,1,-14000,-35795,-1,0,-0.204076767,0,0,5.669050217,0
HEFNER,1,50051,-36892,-1,0,-0.1551404,0,0,7.405517578,0
SLAUGHTER,1,8150,-40066,-1,0,0.050999641,0,-1,-2.451482773,0
HANSEN,2,-1000,-40479,1,0,-0.080542564,0,0,15.57711792,0
BUYER,2,1000,-40989,1,0,0.331180573,-1,0,11.89990234,0
HILLIARD,1,-34950,-42200,-1,0,-0.038976192,-1,0,0.510724068,0
THURMAN,1,-103,-42616,-1,0,0.073634863,-1,0,2.962203979,0
KANJORSKI,1,27609,-43069,-1,0,-0.008426666,0,0,4.187944412,0
BARCIA,1,-10200,-43391,-1,0,0.09350729,-1,0,1.430030823,0
FLAKE,1,-6500,-43582,-1,0,-0.007369041,0,0,5.464761734,0
MILLER,1,-4275,-47075,-1,0,-0.026188374,0,0,-1.430029869,0
CLAYTON,1,-35300,-47935,-1,0,-0.108488083,-1,0,3.626152039,0
DELLUMS,1,-4000,-49491,-1,0,0.01057291,0,0,1.072524428,0
GREEN,1,-6075,-49661,-1,0,0.123179436,-1,0,2.451482773,0
ANDREWS,1,27950,-52141,-1,0,0.028790951,0,0,3.421859741,0
BROWN,1,33300,-52173,-1,0,-0.045673609,0,0,0,0
BONIOR,1,103202,-52663,-1,0,0.132317543,0,-1,2.860060692,0
CLAY,1,-12610,-53050,-1,0,-0.032738209,0,0,-17.56894684,0
MOLLOHAN,1,-28750,-53050,-1,0,-0.352398396,0,0,9.193052292,0
BOUCHER,1,-3000,-54991,-1,0,-0.070662022,0,0,9.754850388,0
TAYLOR,2,1150,-55453,1,0,0.095225334,0,0,10.82736969,0
GEJDENSON,1,-20968,-55937,-1,0,-0.015693903,0,0,4.341161728,0
LEVIN,1,-10755,-63443,-1,0,-0.014980555,0,0,1.48110199,0
SABO,1,-700,-64408,-1,0,-0.1052742,0,0,5.311541557,0
WATT,1,-32500,-65326,-1,0,-0.090166092,-1,0,7.967314243,0
BROWN,1,-41376,-66651,-1,0,-0.148973703,-1,0,-2.451482773,0
MANTON,1,-34573,-67086,-1,0,0.423734188,0,0,4.749744415,0
RANGEL,1,23652,-68164,-1,0,0,0,0,3.370785713,0
MURTHA,1,-5250,-70366,-1,0,-0.372296333,0,0,13.38100243,0
KILDEE,1,-66401,-73072,-1,0,-0.044530153,0,0,1.787538528,0
MCDERMOTT,1,-14200,-74475,-1,0,-0.068123817,0,0,0.051071644,0
MALONEY,1,-96975,-76508,-1,0,0.232071638,-1,0,-2.042898178,0
CONYERS,1,-85850,-79491,-1,0,-0.008751392,0,0,-4.034729004,0
PARKER,1,-2500,-84404,0,1,-0.090790749,0,0,24.92338943,0
SISISKY,1,-4125,-87272,-1,0,-0.104131222,0,0,11.2359581,0
MORAN,1,-45817,-88314,-1,0,0.046959877,0,-1,10.77630424,0
MOAKLEY,1,-19198,-95609,-1,0,-0.09043169,0,0,4.341165543,0
JEFFERSON,1,-3100,-118400,-1,0,0,0,-1,4.749742508,0
MATSUI,1,-22300,-138879,-1,0,-0.037361145,0,0,7.405517578,0
LEWIS,1,-46595,-164960,-1,0,-0.042536736,0,0,-3.98365736,0
HOYER,1,22067,-169658,-1,0,0.072464943,0,0,6.179775238,0
STARK,1,-62400,-179917,-1,0,0.037908077,0,0,-1.07252121,0
